,est_time,away_team,home_team
123,2018-11-02 21:30:00+00:00,MINNESOTA_TIMBERWOLVES,GOLDEN_STATE_WARRIORS
124,2018-11-03 12:00:00+00:00,DETROIT_PISTONS,PHILADELPHIA_76ERS
125,2018-11-03 18:00:00+00:00,CLEVELAND_CAVALIERS,CHARLOTTE_HORNETS
126,2018-11-03 18:00:00+00:00,BOSTON_CELTICS,INDIANA_PACERS
127,2018-11-03 18:30:00+00:00,MIAMI_HEAT,ATLANTA_HAWKS
128,2018-11-03 19:00:00+00:00,HOUSTON_ROCKETS,CHICAGO_BULLS
129,2018-11-03 19:30:00+00:00,NEW_ORLEANS_PELICANS,SAN_ANTONIO_SPURS
130,2018-11-03 20:00:00+00:00,UTAH_JAZZ,DENVER_NUGGETS
131,2018-11-03 21:00:00+00:00,LOS_ANGELES_LAKERS,PORTLAND_TRAIL_BLAZERS
132,2018-11-04 15:30:00+00:00,SACRAMENTO_KINGS,MILWAUKEE_BUCKS
133,2018-11-04 18:00:00+00:00,PHILADELPHIA_76ERS,BROOKLYN_NETS
134,2018-11-04 18:00:00+00:00,NEW_YORK_KNICKS,WASHINGTON_WIZARDS
135,2018-11-04 19:00:00+00:00,ORLANDO_MAGIC,SAN_ANTONIO_SPURS
136,2018-11-04 20:00:00+00:00,MEMPHIS_GRIZZLIES,PHOENIX_SUNS
137,2018-11-04 21:00:00+00:00,MINNESOTA_TIMBERWOLVES,PORTLAND_TRAIL_BLAZERS
138,2018-11-04 21:30:00+00:00,TORONTO_RAPTORS,LOS_ANGELES_LAKERS
139,2018-11-05 19:00:00+00:00,MIAMI_HEAT,DETROIT_PISTONS
140,2018-11-05 19:00:00+00:00,HOUSTON_ROCKETS,INDIANA_PACERS
141,2018-11-05 19:00:00+00:00,CLEVELAND_CAVALIERS,ORLANDO_MAGIC
142,2018-11-05 19:30:00+00:00,CHICAGO_BULLS,NEW_YORK_KNICKS
143,2018-11-05 20:00:00+00:00,NEW_ORLEANS_PELICANS,OKLAHOMA_CITY_THUNDER
144,2018-11-05 21:00:00+00:00,BOSTON_CELTICS,DENVER_NUGGETS
145,2018-11-05 21:00:00+00:00,TORONTO_RAPTORS,UTAH_JAZZ
146,2018-11-05 22:30:00+00:00,MEMPHIS_GRIZZLIES,GOLDEN_STATE_WARRIORS
147,2018-11-05 22:30:00+00:00,MINNESOTA_TIMBERWOLVES,LOS_ANGELES_CLIPPERS
148,2018-11-06 19:00:00+00:00,ATLANTA_HAWKS,CHARLOTTE_HORNETS
149,2018-11-06 20:30:00+00:00,WASHINGTON_WIZARDS,DALLAS_MAVERICKS
150,2018-11-06 21:00:00+00:00,BROOKLYN_NETS,PHOENIX_SUNS
151,2018-11-06 22:00:00+00:00,MILWAUKEE_BUCKS,PORTLAND_TRAIL_BLAZERS
152,2018-11-07 19:00:00+00:00,OKLAHOMA_CITY_THUNDER,CLEVELAND_CAVALIERS
153,2018-11-07 19:00:00+00:00,DETROIT_PISTONS,ORLANDO_MAGIC
154,2018-11-07 19:30:00+00:00,NEW_YORK_KNICKS,ATLANTA_HAWKS
155,2018-11-07 19:30:00+00:00,SAN_ANTONIO_SPURS,MIAMI_HEAT
156,2018-11-07 20:00:00+00:00,PHILADELPHIA_76ERS,INDIANA_PACERS
157,2018-11-07 20:00:00+00:00,DENVER_NUGGETS,MEMPHIS_GRIZZLIES
158,2018-11-07 20:00:00+00:00,CHICAGO_BULLS,NEW_ORLEANS_PELICANS
159,2018-11-07 21:00:00+00:00,DALLAS_MAVERICKS,UTAH_JAZZ
160,2018-11-07 22:00:00+00:00,TORONTO_RAPTORS,SACRAMENTO_KINGS
161,2018-11-07 22:30:00+00:00,MINNESOTA_TIMBERWOLVES,LOS_ANGELES_LAKERS
162,2018-11-08 20:00:00+00:00,HOUSTON_ROCKETS,OKLAHOMA_CITY_THUNDER
163,2018-11-08 21:00:00+00:00,BOSTON_CELTICS,PHOENIX_SUNS
164,2018-11-08 22:00:00+00:00,LOS_ANGELES_CLIPPERS,PORTLAND_TRAIL_BLAZERS
165,2018-11-08 22:30:00+00:00,MILWAUKEE_BUCKS,GOLDEN_STATE_WARRIORS
166,2018-11-09 19:00:00+00:00,WASHINGTON_WIZARDS,ORLANDO_MAGIC
167,2018-11-09 19:00:00+00:00,CHARLOTTE_HORNETS,PHILADELPHIA_76ERS
168,2018-11-09 19:30:00+00:00,DETROIT_PISTONS,ATLANTA_HAWKS
169,2018-11-09 20:00:00+00:00,INDIANA_PACERS,MIAMI_HEAT
170,2018-11-09 21:00:00+00:00,BROOKLYN_NETS,DENVER_NUGGETS
171,2018-11-09 21:30:00+00:00,BOSTON_CELTICS,UTAH_JAZZ
172,2018-11-09 22:00:00+00:00,MINNESOTA_TIMBERWOLVES,SACRAMENTO_KINGS
173,2018-11-10 15:00:00+00:00,NEW_YORK_KNICKS,TORONTO_RAPTORS
174,2018-11-10 15:30:00+00:00,MILWAUKEE_BUCKS,LOS_ANGELES_CLIPPERS
175,2018-11-10 19:00:00+00:00,PHOENIX_SUNS,NEW_ORLEANS_PELICANS
176,2018-11-10 20:00:00+00:00,CLEVELAND_CAVALIERS,CHICAGO_BULLS
177,2018-11-10 20:00:00+00:00,PHILADELPHIA_76ERS,MEMPHIS_GRIZZLIES
178,2018-11-10 20:00:00+00:00,WASHINGTON_WIZARDS,MIAMI_HEAT
179,2018-11-10 20:30:00+00:00,BROOKLYN_NETS,GOLDEN_STATE_WARRIORS
180,2018-11-10 20:30:00+00:00,HOUSTON_ROCKETS,SAN_ANTONIO_SPURS
181,2018-11-10 21:00:00+00:00,OKLAHOMA_CITY_THUNDER,DALLAS_MAVERICKS
182,2018-11-10 22:00:00+00:00,LOS_ANGELES_LAKERS,SACRAMENTO_KINGS
183,2018-11-11 15:30:00+00:00,CHARLOTTE_HORNETS,DETROIT_PISTONS
