,slug,name,positions,age,team,games_played,games_started,minutes_played,made_field_goals,attempted_field_goals,made_three_point_field_goals,attempted_three_point_field_goals,made_free_throws,attempted_free_throws,offensive_rebounds,defensive_rebounds,assists,steals,blocks,turnovers,personal_fouls,points,fan_ppg
244,curryse01,Seth Curry,SHOOTING_GUARD,28,PORTLAND_TRAIL_BLAZERS,74,2,1399,212,465,113,251,44,52,27,93,66,36,12,61,97,581,11.608108108108109
245,fergute01,Terrance Ferguson,SHOOTING_GUARD,20,OKLAHOMA_CITY_THUNDER,74,74,1931,185,431,106,290,37,51,33,108,72,40,16,47,231,513,11.556756756756757
246,ferreyo01,Yogi Ferrell,POINT_GUARD,25,SACRAMENTO_KINGS,71,3,1067,153,352,54,149,60,67,13,96,137,36,4,40,64,420,11.215492957746479
247,dudleja01,Jared Dudley,POWER_FORWARD,33,BROOKLYN_NETS,59,25,1220,101,239,53,151,32,46,34,121,83,36,16,43,131,287,11.161016949152541
248,snellto01,Tony Snell,SMALL_FORWARD,27,MILWAUKEE_BUCKS,74,12,1304,163,361,81,204,37,42,29,128,68,26,18,23,90,444,10.802702702702703
249,iwundwe01,Wesley Iwundu,SMALL_FORWARD,24,ORLANDO_MAGIC,68,13,1233,113,274,29,79,84,103,37,147,73,28,22,44,123,339,10.666176470588235
250,brownbr01,Bruce Brown,SHOOTING_GUARD,22,DETROIT_PISTONS,74,56,1449,125,314,24,93,45,60,48,137,91,40,36,46,178,319,10.587837837837839
251,mcderdo01,Doug McDermott,SMALL_FORWARD,27,INDIANA_PACERS,77,1,1340,207,422,84,206,66,79,17,92,67,18,8,42,104,564,10.458441558441558
252,tollian01,Anthony Tolliver,POWER_FORWARD,33,MINNESOTA_TIMBERWOLVES,65,0,1079,99,259,81,215,47,60,15,162,46,17,21,36,91,326,9.959999999999999
253,mckinal01,Alfonzo McKinnie,SMALL_FORWARD,26,GOLDEN_STATE_WARRIORS,72,5,1003,134,275,42,118,27,48,81,166,31,18,15,30,134,337,9.943055555555555
