,start_time,away_team,home_team,est_time
80,2019-11-02 19:00:00+00:00,TORONTO_RAPTORS,MILWAUKEE_BUCKS,2019-11-02 15:00:00-04:00
81,2019-11-02 19:00:00+00:00,MINNESOTA_TIMBERWOLVES,WASHINGTON_WIZARDS,2019-11-02 15:00:00-04:00
82,2019-11-02 19:30:00+00:00,CHARLOTTE_HORNETS,GOLDEN_STATE_WARRIORS,2019-11-02 15:30:00-04:00
83,2019-11-02 21:00:00+00:00,PHILADELPHIA_76ERS,PORTLAND_TRAIL_BLAZERS,2019-11-02 17:00:00-04:00
84,2019-11-03 17:00:00+00:00,CHICAGO_BULLS,INDIANA_PACERS,2019-11-03 12:00:00-05:00
85,2019-11-03 18:00:00+00:00,HOUSTON_ROCKETS,MIAMI_HEAT,2019-11-03 13:00:00-05:00
86,2019-11-03 18:00:00+00:00,SACRAMENTO_KINGS,NEW_YORK_KNICKS,2019-11-03 13:00:00-05:00
87,2019-11-03 19:00:00+00:00,LOS_ANGELES_LAKERS,SAN_ANTONIO_SPURS,2019-11-03 14:00:00-05:00
88,2019-11-03 19:30:00+00:00,DALLAS_MAVERICKS,CLEVELAND_CAVALIERS,2019-11-03 14:30:00-05:00
89,2019-11-03 21:00:00+00:00,UTAH_JAZZ,LOS_ANGELES_CLIPPERS,2019-11-03 16:00:00-05:00
90,2019-11-04 19:00:00+00:00,DETROIT_PISTONS,WASHINGTON_WIZARDS,2019-11-04 14:00:00-05:00
91,2019-11-04 19:30:00+00:00,NEW_ORLEANS_PELICANS,BROOKLYN_NETS,2019-11-04 14:30:00-05:00
92,2019-11-04 20:00:00+00:00,HOUSTON_ROCKETS,MEMPHIS_GRIZZLIES,2019-11-04 15:00:00-05:00
93,2019-11-04 20:00:00+00:00,MILWAUKEE_BUCKS,MINNESOTA_TIMBERWOLVES,2019-11-04 15:00:00-05:00
94,2019-11-04 21:00:00+00:00,PHILADELPHIA_76ERS,PHOENIX_SUNS,2019-11-04 16:00:00-05:00
95,2019-11-04 22:30:00+00:00,PORTLAND_TRAIL_BLAZERS,GOLDEN_STATE_WARRIORS,2019-11-04 17:30:00-05:00
96,2019-11-05 19:00:00+00:00,INDIANA_PACERS,CHARLOTTE_HORNETS,2019-11-05 14:00:00-05:00
97,2019-11-05 19:00:00+00:00,BOSTON_CELTICS,CLEVELAND_CAVALIERS,2019-11-05 14:00:00-05:00
98,2019-11-05 19:30:00+00:00,SAN_ANTONIO_SPURS,ATLANTA_HAWKS,2019-11-05 14:30:00-05:00
99,2019-11-05 20:00:00+00:00,LOS_ANGELES_LAKERS,CHICAGO_BULLS,2019-11-05 15:00:00-05:00
